LABNR,C14AGE,C14STD,C13,MATERIAL,SITE,COUNTRY,FEATURE,FEATURE_DESC,PHASE,POTTERY,ASSOCIATION,REL,LAT,LONG,SOURCE
Beta-75795,1710,110,,,Upper Esimbi,COG,1,,,,,0,2.54,16.5,Fay 1997; Garcin et al. 2018
Beta-75796,2020,80,,,Upper Esimbi,COG,2,,,,,0,2.54,16.5,Fay 1997; Garcin et al. 2018
Beta-75797,1720,90,,,Upper Esimbi,COG,3,,,,,0,2.54,16.5,Fay 1997; Garcin et al. 2018
Beta-75798,1480,70,,,Upper Esimbi,COG,4,,,,,0,2.55,16.5,Fay 1997; Garcin et al. 2018
Beta-75799,1150,70,,,Upper Esimbi,COG,5,,,,,0,2.55,16.5,Fay 1997; Garcin et al. 2018
Beta-75800,990,80,,,Mid Esimbi,COG,1,,,,,0,2.44,16.46,Fay 1997; Garcin et al. 2018
Beta-75801,1280,80,,,Mid Esimbi,COG,2,,,,,0,2.44,16.46,Fay 1997; Garcin et al. 2018
Beta-75802,1030,80,,,Mid Esimbi,COG,3,,,,,0,2.44,16.46,Fay 1997; Garcin et al. 2018
Beta-75803,1300,80,,,Mid Esimbi,COG,4,,,,,0,2.44,16.46,Fay 1997; Garcin et al. 2018
Beta-75804,1310,80,,,Mid Esimbi,COG,5,,,,,0,2.44,16.46,Fay 1997; Garcin et al. 2018
Beta-75805,1110,70,,,Goaleke,COG,1,,,,,0,2.32,16.34,Fay 1997; Garcin et al. 2018
Beta-75806,2290,70,,,Goalake River 2,COG,,,,,,0,2.32,16.34,Fay 1997; Garcin et al. 2018
Beta-75807,1290,70,,,Goaleke,COG,3,,,,,0,2.32,16.34,Fay 1997; Garcin et al. 2018
Beta-75808,1390,100,,,Goaleke,COG,4,,,,,0,2.32,16.34,Fay 1997; Garcin et al. 2018
Beta-75809,1210,80,,,Goaleke,COG,5,,,,,0,2.32,16.34,Fay 1997; Garcin et al. 2018
Beta-75810,1680,90,,,Mondika,COG,1,,,,,0,2.35,16.28,Fay 1997; Garcin et al. 2018
Beta-75811,1760,90,,,Mondika,COG,2,,,,,0,2.35,16.28,Fay 1997; Garcin et al. 2018
Beta-75812,1780,110,,,Mondika,COG,3,,,,,0,2.35,16.28,Fay 1997; Garcin et al. 2018
Beta-75813,1840,90,,,Mondika,COG,4,,,,,0,2.35,16.28,Fay 1997; Garcin et al. 2018
Beta-75814,1400,110,,,Mondika,COG,5,,,,,0,2.35,16.28,Fay 1997; Garcin et al. 2018
Beta-75815,1480,80,,,Upper Ndoki,COG,1,,,,,0,2.47,16.32,Fay 1997; Garcin et al. 2018
Beta-75816,1430,100,,,Upper Ndoki,COG,2,,,,,0,2.47,16.32,Fay 1997; Garcin et al. 2018
Beta-75817,1800,80,,,Upper Ndoki,COG,3,,,,,0,2.47,16.32,Fay 1997; Garcin et al. 2018
Beta-75818,1690,110,,,Upper Ndoki,COG,4,,,,,0,2.47,16.32,Fay 1997; Garcin et al. 2018
Beta-75819,1520,90,,,Upper Ndoki,COG,5,,,,,0,2.47,16.32,Fay 1997; Garcin et al. 2018
Beta-75820,1660,90,,,Wali,COG,1,,,,,0,2.22,16.21,Fay 1997; Garcin et al. 2018
Beta-75821,1880,70,,,Wali,COG,2,,,,,0,2.22,16.21,Fay 1997; Garcin et al. 2018
Beta-75822,1790,90,,,Wali,COG,3,,,,,0,2.22,16.21,Fay 1997; Garcin et al. 2018
Beta-75823,1630,80,,,Wali,COG,4,,,,,0,2.22,16.21,Fay 1997; Garcin et al. 2018
Beta-75824,2160,100,,,Wali,COG,5,,,,,0,2.22,16.21,Fay 1997; Garcin et al. 2018
Beta-75825,1550,80,,,Mbeli creek,COG,1,,,,,0,2.25,16.4,Fay 1997; Garcin et al. 2018
Beta-75826,1690,80,,,Mbeli creek,COG,2,,,,,0,2.25,16.4,Fay 1997; Garcin et al. 2018
Beta-75827,1550,70,,,Mbeli creek,COG,3,,,,,0,2.25,16.4,Fay 1997; Garcin et al. 2018
Beta-75828,1240,70,,,Mbeli creek,COG,4,,,,,0,2.25,16.4,Fay 1997; Garcin et al. 2018
Beta-75829,1560,70,,,Mbeli creek,COG,5,,,,,0,2.25,16.4,Fay 1997; Garcin et al. 2018
Beta-75830,2340,90,,,Bai Dédé Creek 1,COG,,,,,,0,2.21,16.53,Fay 1997; Garcin et al. 2018
Beta-75831,1620,100,,,Bai Dédé Creek 2,COG,,,,,,0,2.21,16.53,Fay 1997; Garcin et al. 2018
Beta-75832,1660,80,,,Bai Dédé Creek 3,COG,,,,,,0,2.21,16.53,Fay 1997; Garcin et al. 2018
Beta-75833,1730,90,,,Bai Dédé Creek 4,COG,,,,,,0,2.21,16.53,Fay 1997; Garcin et al. 2018
Beta-75834,1710,90,,,Bai Dédé Creek 5,COG,,,,,,0,2.21,16.53,Fay 1997; Garcin et al. 2018
Beta-75835,1760,80,,,12 km Dédé creek,COG,Creek 1,,,,,0,2.2,16.51,Fay 1997; Garcin et al. 2018
Beta-75836,1730,80,,,12 km Dédé creek,COG,Creek 2,,,,,0,2.2,16.51,Fay 1997; Garcin et al. 2018
Beta-75837,1730,100,,,12 km Dédé creek,COG,Creek 3; 13 km,,,,,0,2.2,16.51,Fay 1997; Garcin et al. 2018
Beta-75838,1780,100,,,12 km Dédé creek,COG,Creek 4,,,,,0,2.2,16.51,Fay 1997; Garcin et al. 2018
Beta-75839,1940,90,,,12 km Dédé creek,COG,Creek 4,,,,,0,2.2,16.51,Fay 1997; Garcin et al. 2018
Beta-75840,1830,80,,,West Ndoki Lombé,COG,1,,,,,0,2.19,16.4,Fay 1997; Garcin et al. 2018
Beta-75841,2090,100,,,West Ndoki Lombé,COG,2,,,,,0,2.19,16.4,Fay 1997; Garcin et al. 2018
Beta-75842,1280,80,,,West Ndoki Lombé,COG,3,,,,,0,2.19,16.4,Fay 1997; Garcin et al. 2018
Beta-75843,1780,110,,,West Ndoki Lombé,COG,4,,,,,0,2.19,16.4,Fay 1997; Garcin et al. 2018
Beta-75844,1690,90,,,West Ndoki Lombé,COG,5,,,,,0,2.19,16.4,Fay 1997; Garcin et al. 2018
Beta-75845,1540,100,,,Modoubou,CAR,1,,,,,0,2.94,16.35,Fay 1997; Garcin et al. 2018
Beta-75846,1170,90,,,Modoubou,CAR,2,,,,,0,2.94,16.35,Fay 1997; Garcin et al. 2018
Beta-75847,1350,90,,,Modoubou,CAR,3,,,,,0,2.94,16.35,Fay 1997; Garcin et al. 2018
Beta-75848,1620,100,,,Modoubou,COG,4,,,,,0,2.94,16.35,Fay 1997; Garcin et al. 2018
Beta-75849,1450,80,,,Modoubou,CAR,5,,,,,0,2.94,16.35,Fay 1997; Garcin et al. 2018
Beta-75850,1640,80,,,Kenie Branch,CAR,1,,,,,0,2.37,16.14,Fay 1997; Garcin et al. 2018
Beta-75851,1860,90,,,Kenie Branch,CAR,2,,,,,0,2.37,16.14,Fay 1997; Garcin et al. 2018
Beta-75852,2090,90,,,Kenie Branch,CAR,3,,,,,0,2.37,16.14,Fay 1997; Garcin et al. 2018
Beta-75853,1640,110,,,Kenie Branch,CAR,4,,,,,0,2.37,16.14,Fay 1997; Garcin et al. 2018
Beta-75854,1890,100,,,Kenie Branch,CAR,5,,,,,0,2.37,16.14,Fay 1997; Garcin et al. 2018
Beta-88067,1870,70,0,,Bécaré II,CAF,,,,,,,3.525773,16.040565,Lanfranchi/Ndanga/Zana 1996; Lupo et al. 2018: 14 Tab. 4
Beta-9076,1600,50,0,Charcoal,Massango,GAB,,,,,,,-1.6319,13.1417,Clist 2004/05
Beta-9077,1680,100,0,Charcoal,Mboma,GAB,,,,,,,-1.708333,13.347222,Clist 2004/05
Beta-9078,400,50,0,Charcoal,Lebombi,GAB,,,,,,,-1.5,13.3725,Clist 2004/05
Beta-9079,590,60,0,Elaeis guineensis,Lebombi,GAB,,,,,,,-1.5,13.3725,Clist 2004/05
Beta-9080,980,70,0,Charcoal,Lebombi,GAB,,,,,,,-1.5,13.3725,Clist 2004/05
Beta-9081,710,60,0,Charcoal,Lebombi,GAB,,,,,,,-1.5,13.3725,Clist 2004/05
Beta-9082,1850,70,0,Charcoal,Moanda,GAB,1,,,,,,-1.557111,13.228192,Clist 2004/05
Beta-97224,290,50,0,,Ouassi,CAF,,,,,,,7.13408,18.28206,Moga 2008
BM-2425,4180,160,0,,Mbi Crater,CMR,,,,,,,6.050191,10.203466,Asombang 1998; Garcin et al. 2018
BM-2426,2770,120,0,,Mbi Crater,CMR,,,,,,0,6.050191,10.203466,Asombang 1998; Garcin et al. 2018
BM-2495,40,40,0,,Shum Laka,CMR,,Trench,,,,,5.858611,10.077778,Lavachery/Cornelissen 2000
BM-2496,6360,100,0,,Shum Laka,CMR,,Trench,,,,,5.858611,10.077778,Asombang 1988
Bon-599,1640,520,0,Peat,Bras mort Ogooue,GAB,,,,,,,,,Clist 2004/05
C-580,11188,490,0,,Mufo,AGO,,,,Tshitolian/Lupembian,,,-7.516667,21.416667,Cahen/Moeyersons 1977: 813 Tab. 1; de Maret/van Noten/Cahen 1977
C-581,14483,560,0,,Mufo,AGO,,,,Lupembian/Upper,,,-7.516667,21.416667,Cahen/Moeyersons 1977: 813 Tab. 1; de Maret/van Noten/Cahen 1977
Crg-862,570,50,0,,Tsabouka,COG,,,,,,,-4.26083,14.42806,Pincon 1991
Crg-863,570,50,0,,Tsabouka,COG,,,,,,,-4.26083,14.42806,Dupre/Pincon 1997
Crg-865,750,70,0,,Tsabouka,COG,,,,,,,-4.26083,14.42806,Pincon 1991
CSIC-100,1300,100,,,Carboneras,GNQ,,,,,,,3.75,8.75, Clist 1998;  Garcin et al. 2018
CSIC-102,1390,100,,,Carboneras,GNQ,,,,,,,3.75,8.75, Clist 1998;  Garcin et al. 2018
CSIC-103,1360,100,,,Carboneras,GNQ,,,,,,,3.75,8.75, Clist 1998;  Garcin et al. 2018
CSIC-129,1290,100,,,Carboneras,GNQ,,,,,,,3.75,8.75, Clist 1998;  Garcin et al. 2018
CSIC-96,1170,100,,,Carboneras,GNQ,,,,,,,3.75,8.75, Clist 1998;  Garcin et al. 2018
CSIC-97,470,100,,,Carboneras,GNQ,,,,,,,3.75,8.75, Clist 1998;  Garcin et al. 2018
CSIC-99,1250,100,,,Carboneras,GNQ,,,,,,,3.75,8.75, Clist 1998;  Garcin et al. 2018
D-AMS-27051,170,21,0,,Carrieres,CAF,CA2,Slag Mound,,,,,3.7745,17.5035,Schmitt et al. 2019: 63 Tab. 1
D-AMS-27052,101,21,0,,Carrieres,CAF,CA3,Slag Mound,,,,,3.7731,17.5051,Schmitt et al. 2019: 63 Tab. 1
D-AMS-27053,225,23,0,,Lebe,CAF,LE1,Slag Mound,,,,,3.7621,17.5145,Schmitt et al. 2019: 63 Tab. 1
D-AMS-27054,1898,27,0,,Lebe,CAF,LE2,Slag Mound,,,,,3.7634,17.5155,Schmitt et al. 2019: 63 Tab. 1
D-AMS-27055,348,25,0,,Lebe,CAF,LE3,Slag Mound,,,,,3.7652,17.5144,Schmitt et al. 2019: 63 Tab. 1
D-AMS-27056,347,23,0,,Lebe,CAF,LE3,Slag Mound,,,,,3.7652,17.5144,Schmitt et al. 2019: 63 Tab. 1
D-AMS-27057,782,22,0,,Lebe,CAF,LE4,Slag Mound,,,,,3.7897,17.5121,Schmitt et al. 2019: 63 Tab. 1
D-AMS-27058,356,24,0,,Lebe,CAF,LE5,Slag Mound,,,,,3.7645,17.5148,Schmitt et al. 2019: 63 Tab. 1
D-AMS-27059,252,23,0,,Lebe,CAF,LE5,Slag Mound,,,,,3.7645,17.5148,Schmitt et al. 2019: 63 Tab. 1
D-AMS-27060,246,23,0,,Lebe,CAF,LE6,Slag Mound,,,,,3.7635,17.5146,Schmitt et al. 2019: 63 Tab. 1
D-AMS-27061,102,24,0,,Lebe,CAF,LE7,Slag Mound,,,,,3.7612,17.5151,Schmitt et al. 2019: 63 Tab. 1
D-AMS-27062,1144,27,0,,Moloukou,CAF,MO7,Slag Mound,,,,,3.7403,17.5185,Schmitt et al. 2019: 63 Tab. 1
D-AMS-27063,1146,26,0,,Moloukou,CAF,MO9,Slag Mound,,,,,3.7382,17.5067,Schmitt et al. 2019: 63 Tab. 1
D-AMS-27064,1875,27,0,,Moloukou,CAF,MO9,Slag Mound,,,,,3.7382,17.5067,Schmitt et al. 2019: 63 Tab. 1
D-AMS-27065,175,23,0,,Moloukou,CAF,MO6,,,,,,3.7388,17.5155,Schmitt et al. 2019: 63 Tab. 1
D-AMS-27066,1907,34,0,,Moloukou,CAF,MO8,,,,,,3.7381,17.5082,Schmitt et al. 2019: 63 Tab. 1
D-AMS-27780,1508,23,0,,Moloukou,CAF,MO11,,,,,,3.7260,17.5059,Schmitt et al. 2019: 63 Tab. 1
D-AMS-27781,326,23,0,,Lebe,CAF,LE5,Slag Mound,,,,,3.7645,17.5148,Schmitt et al. 2019: 63 Tab. 1
D-AMS-27782,325,23,0,,Lebe,CAF,LE2,Slag Mound,,,,,3.7634,17.5155,Schmitt et al. 2019: 63 Tab. 1
Erl-12252,270,40,0,,Bagofit,CMR,,BGF 08/1,,,,,3.3921,13.8554,Meyer et al. 2009; Garcin et al. 2018
Erl-12253,1920,40,,,Bagofit,CMR,,BGF 08/6,,,,,3.3921,13.8554,Meyer et al. 2009; Garcin et al. 2018
Erl-12254,2560,40,,,Bagofit,CMR,,BGF 08/9,,,,,3.3921,13.8554,Meyer et al. 2009; Garcin et al. 2018
Erl-12255,2180,40,,,Mintyaminyoumin,CMR,MNT 08/2,,,,,,3.02,12.025,Kahlheber et al. 2014: 500 Tab. 4; Garcin et al. 2018
Erl-12256,2210,40,,,Mintyaminyoumin,CMR,MNT 08/2,,,,,,3.02,12.025,Kahlheber et al. 2014: 500 Tab. 4; Garcin et al. 2018
Erl-12257,1760,40,,,Mampang,CMR,MPG 08/6,,,,,,3.5824,13.1238,Meyer et al. 2009; Garcin et al. 2018
Erl-12258,1760,40,,,Mampang,CMR,MPG 08/8,,,,,,3.5824,13.1238,Meyer et al. 2009; Garcin et al. 2018
Erl-12259,1886,38,-24.4,Charcoal,Nkpwala-Esse,CMR,,,,,,,2.969667,12.068833,Meyer et al. 2009
Erl-12260,1896,38,-24.9,Elaeis guineensis,Nkpwala-Esse,CMR,,,,,,,2.969667,12.068833,Meyer et al. 2009
Erl-12261,1905,39,-26.4,Charcoal,Nkpwala-Esse,CMR,,,,,,,2.969667,12.068833,Meyer et al. 2009
Erl-12262,1953,38,-25.7,Charcoal,Nkpwala-Esse,CMR,,,,,,,2.969667,12.068833,Meyer et al. 2009
Erl-12263,1933,39,-24.2,Charcoal,Nkpwala-Esse,CMR,,,,,,,2.969667,12.068833,Meyer et al. 2009
Erl-12264,1960,39,-27.6,Charcoal,Mouanko-Lobethal,CMR,LBT 99/2,Burial,,Campo,,1,3.641726,9.781966,Meister 2010: 241; Eggert/Seidensticker 2016:81 Tab. 4.2
Erl-14116,831,46,,Charcoal,Mouanko-Lobethal,CMR,LBT 98/9,Burial,,,,,3.641726,9.781966,Eggert/Seidensticker 2016:81 Tab. 4.2
Erl-14118,2300,50,,,Mintyaminyoumin,CMR,MNT 08/1,,,,,,3.02,12.025,Kahlheber et al. 2014: 500 Tab. 4; Garcin et al. 2018
Erl-17763,2201,52,"-9,2",Pennisetum glaucum,Boso-Njafo,COD,BSN 85/1,Pit,,Imbonga,,1,1.130547,19.209599,Kahlheber et al. 2014: 500 Tab. 4
Erl-9176,2326,86,0,Pennisetum glaucum,Bwambé-Sommet (Est),CMR,BWS 04/2 (F33),Pit,,Bissiang/Malongo; Bwambé/Mpoengu,,1,2.893551,9.903519,Eggert u.a. 2006: 283; Eggert/Seidensticker 2016:79 Tab. 4.2
Erl-9177,2305,44,0,Elaeis guineensis,Bwambé-Sommet (Est),CMR,BWS 04/2 (F33),Pit,,Bissiang/Malongo; Bwambé/Mpoengu,,1,2.893551,9.903519,Eggert u.a. 2006: 283; Eggert/Seidensticker 2016:79 Tab. 4.2
Gif A-95561,10320,110,0,Charcoal,Lope 2,GAB,,,,,,,-0.218056,11.5875,Clist 2004/05
Gif A-99340,2390,70,0,Charcoal,Lope 6,GAB,,,,,,,-0.2083,11.5944,Clist 2004/05
Gif A-99396,2330,60,0,Charcoal,Riviere Denis,GAB,2,,,,,0,0.322222,9.347778,Clist 2004/05
Gif A-99397,7120,80,0,Charcoal,Riviere Denis,GAB,1,,,,,0,0.322222,9.347778,Clist 2004/05
Gif A-99524,1960,60,0,Charcoal,Maboue 1,GAB,,,,,,,-0.143611,11.526111,Clist 2004/05
Gif-?,2205,45,0,Charcoal,Lope 2,GAB,,,,,,,-0.218056,11.5875,Clist 2004/05
Gif-10102,1790,50,0,,Okanda 1,GAB,,,,,,,-0.127778,11.588889,Assoko Ndong 2001; Garcin et al. 2018
Gif-10103,1950,40,0,Charcoal,Okanda 6,GAB,,,,,,,-0.1175,11.568611,Clist 2004/05
Gif-10104,700,50,0,,Leledi 1,GAB,,,,,,,-0.3402,11.5083,Clist 2004/05
Gif-10105,705,50,0,,Oumondo 2,GAB,,,,,,,,,Clist 2004/05
Gif-10176,5720,110,0,,Leledi 10,GAB,,,,,,,-0.133,16.166,Assoko Ndong 2001; Garcin et al. 2018
Gif-10203,2200,40,,,Oumoundo 4,GAB,,,,,,,-0.5866,11.5333,Assoko Ndong 2001; Garcin et al. 2018
Gif-10205,705,50,0,,Oumoundo 2,GAB,,,,,,,0,11.5,Oslisly et al 2013
Gif-10278,860,40,0,,HVL 4,GAB,,,,,,,-0.5777,11.5658,Clist 2004/05
Gif-10279,0,0,0,,Mitendi,GAB,,,,,,,,,Clist 2004/05
Gif-10325,200,50,0,,HVL 3,GAB,,,,,,,-0.5658,11.6016,Clist 2004/05
Gif-10327,820,60,,,Lope 15,GAB,,,,,,,-0.2083,11.5944,Assoko Ndong 2001; Garcin et al. 2018
Gif-10436,1890,50,0,Charcoal,Lindili 1,GAB,,,,,,,-0.158056,11.5025,Clist 2004/05
Gif-10437,1950,40,,,Okanda 5,GAB,,,,,,,-0.1278,11.5889,Assoko Ndong 2001; Garcin et al. 2018
Gif-10438,4500,50,,,Okanda 5,GAB,,,,,,,-0.1278,11.5889,Assoko Ndong 2001; Garcin et al. 2018
Gif-10672,480,60,0,,Oumondo 1,GAB,,,,,,,-0.5947,11.5425,Clist 2004/05
Gif-10749,580,40,0,,Nfeitok 1,CMR,,,,,,,5.566258,9.366884,Oslisly 2000
Gif-10751,2205,45,0,,Lopé,GAB,,,,Yindo,,,-0.2186,11.5875,Assoko Ndong 2001
Gif-10752,1745,40,0,Charcoal,Lindili 1,GAB,,,,,,,-0.158056,11.5025,Clist 2004/05
Gif-10753,1480,60,0,Charcoal,Lindili 1,GAB,,,,,,,-0.158056,11.5025,Clist 2004/05
Gif-11047,610,30,0,,Akak 1,CMR,,,,,,,5.505278,9.3675,Oslisly 2000
Gif-11049,1000,75,0,,Mameli 1,CMR,,,,,,,5.154444,9.333889,Oslisly 2000
Gif-11050,530,35,0,,Ewani 1,CMR,,,,,,,5.213889,9.443611,Oslisly 2000
Gif-11051,310,50,0,,Ewani 6,CMR,,,,,,,5.193889,9.429167,Oslisly 2000
Gif-11052,580,40,0,,Ewani 7,CMR,,,,,,,5.196389,9.408333,Oslisly 2000
Gif-11053,760,15,0,,Ewani 9,CMR,,,,,,,5.220833,9.450833,Oslisly 2000
Gif-11118,500,20,0,,Kokobuma 1,CMR,,,,,,,5.419722,9.655,Oslisly 2000
Gif-11152,40010,850,0,Charcoal,Maboue 5,GAB,,,,,,,,,Clist 2004/05
Gif-11155,2210,45,0,Charcoal,Toube 1,GAB,1,Pit,,,,,-0.0375,11.585,Assoko Ndong 2001: 235; Clist 2004/05
Gif-11156,1350,60,0,Charcoal,Maboue 1,GAB,,,,,,,-0.143611,11.526111,Clist 2004/05
Gif-11157,1950,60,0,Charcoal,Toube 1,GAB,,Trench,,,,,-0.0375,11.585,Assoko Ndong 2001: 235; Clist 2004/05
Gif-11340,6090,65,0,Charcoal,Riviere Denis,GAB,1,,,,,0,0.322222,9.347778,Clist 2004/05
Gif-11341,1785,50,0,Charcoal,Riviere Denis,GAB,1,,,,,0,0.322222,9.347778,Clist 2004/05
Gif-11342,1920,45,0,Charcoal,Riviere Denis,GAB,2,,,,,0,0.322222,9.347778,Clist 2004/05
Gif-11343,720,30,0,Charcoal,Lope 5,GAB,,,,,,,-0.1578,11.6111,Clist 2004/05
Gif-11344,0,0,0,Charcoal,Azobe 1,GAB,,,,,,,-0.201944,11.621111,Clist 2004/05
Gif-11345,1620,55,,,Okanda 5,GAB,,,,,,,-0.1278,11.5889,Assoko Ndong 2001; Garcin et al. 2018
Gif-11346,5540,90,,,Okanda 5,GAB,,,,,,,-0.1278,11.5889,Assoko Ndong 2001; Garcin et al. 2018
Gif-11584,520,110,0,,Kamalete,GAB,,Pollencore,,,,,-0.698869,11.765497,Ngomanda et al. 2005
Gif-11585,1410,70,0,,Kamalete,GAB,,Pollencore,,,,,-0.698869,11.765497,Ngomanda et al. 2005
Gif-11783,1430,40,0,,Kamalete,GAB,,Pollencore,,,,,-0.698869,11.765497,Ngomanda et al. 2005
Gif-11789,1255,75,0,,Kamalete,GAB,,Pollencore,,,,,-0.698869,11.765497,Ngomanda et al. 2005
Gif-11790,160,45,0,,Kamalete,GAB,,Pollencore,,,,,-0.698869,11.765497,Ngomanda et al. 2005
Gif-12476,585,35,0,,Djembe,,,Geologic Profile,,,,,2.183333,16.066667,Oslisly et al 2013
Gif-12477,280,35,,,PS3,CMR,,,,,,,2.06,15.48,Bremond et al. 2017; Garcin et al. 2018
Gif-12478,1830,35,0,,Djembe,,,Geologic Profile,,,,,2.183333,16.066667,Oslisly et al 2013
Gif-1636,7440,170,0,,Beforo,CAF,,,,,,,,,van Noten 1982
Gif-1637,1920,100,0,,Tia 1,CAF,,,,,,,,,van Noten 1982
Gif-1642,7670,80,,,Lope 2,GAB,,,,,,,-0.218056,11.5875,Assoko Ndong 2001; Garcin et al. 2018
Gif-1688,1310,100,0,,Biala,COG,,,,,,0,-3.866667,13.25,Kouyoumontzakis u.a. 1985
Gif-1887,2560,110,0,,Be Yole,CAF,,,,,,,,,van Noten 1982
Gif-1888,2200,110,0,,Be Yole,CAF,,,,,,,,,van Noten 1982
Gif-1889,2400,100,0,,Zupaya,CAF,,,,,,,,,van Noten 1982
Gif-1890,6700,140,0,,Zupaya,CAF,,,,,,,,,van Noten 1982
Gif-1914,6600,130,0,,Moussanda,COG,,,Tshitolien,,,0,-4.016667,13.933333,Kouyoumontzakis u.a. 1985
Gif-2202,8550,200,0,,Point-Noire,COG,,,,,,,-4.75,11.85,van Noten 1982
Gif-2203,8920,200,0,,Point-Noire,COG,,,,,,,-4.75,11.85,van Noten 1982
Gif-2204,7650,180,0,,Point-Noire,COG,,,,,,,-4.75,11.85,van Noten 1982
Gif-2205,7200,180,0,,Point-Noire,COG,,,,,,,-4.75,11.85,van Noten 1982
Gif-2206,3860,130,0,,Point-Noire,COG,,,,,,,-4.75,11.85,van Noten 1982
Gif-2207,7650,180,0,,Point-Noire,COG,,,,,,,-4.75,11.85,van Noten 1982
Gif-2208,8200,190,0,,Point-Noire,COG,,,,,,,-4.75,11.85,van Noten 1982
Gif-2209,4920,140,0,,Point-Noire,COG,,,,,,,-4.75,11.85,van Noten 1982
Gif-2210,0,0,0,,Point-Noire,COG,,,,,,,-4.75,11.85,van Noten 1982
Gif-2211,800,90,0,,Côte Sauvage,COG,,,,,,0,-4.916667,11.948611,Kouyoumontzakis u.a. 1985
Gif-2212,0,0,0,,Point-Noire,COG,,,,,,,-4.75,11.85,van Noten 1982
Gif-2223,1850,100,0,,Kamoa,COD,,,,,,,,,van Noten 1982
Gif-2224,1850,100,0,,Kamoa,COD,,,,,,,,,van Noten 1982
Gif-2225,3750,110,0,,Kamoa,COD,,,,,,,,,van Noten 1982
Gif-2228,1850,100,0,,Kamoa,COD,,,,,,,,,van Noten 1982
Gif-2294,0,0,0,,Ruzizi,RWA,,,,,,,-2.494502,28.892014,van Noten 1982
Gif-2295,250,90,0,,Gaseke,RWA,,,,,,,-1.767514,29.550644,van Noten 1982
Gif-2673,190,90,0,,Betume,CAF,,,,,,,,,van Noten 1982
Gif-2914,1230,90,0,Shell (River/Ocean),Cap Lopez,GAB,,,,,,0,-0.772646,8.781164,Clist 2004/05
Gif-2948,1890,90,0,,Point-Noire,COG,,,,,,0,-4.75,11.85,Kouyoumontzakis u.a. 1985
Gif-3449,520,80,0,,Loango,COG,,,,,,0,-4.65,11.790278,Kouyoumontzakis u.a. 1985
Gif-3450,2910,110,0,,Point-Noire,COG,,,,,,0,-4.75,11.85,Kouyoumontzakis u.a. 1985
Gif-3454,170,100,0,,Kafubu,COD,,,,,,,,,van Noten 1982
Gif-3455,1140,90,0,,Kafubu,COD,,,,,,,,,van Noten 1982
Gif-3456,2030,100,0,,Kafubu,COD,,,,,,,,,van Noten 1982
Gif-3479,3400,100,0,Shell (River/Ocean),Baia Farta,AGO,,,,,,0,-12.683333,13.2,de Maret 1985
Gif-3662,640,60,0,,Toala,CAF,,,,,,,6.352778,15.998333,Moga 2008
Gif-4148,0,0,0,Charcoal,Sou,CMR,,,,,,,12.2,14.7,de Maret 1985
Gif-4149,580,80,0,Charcoal,Sou,CMR,,,,,,,12.2,14.7,de Maret 1985
Gif-4150,150,80,0,Charcoal,Sou,CMR,,,,,,,12.2,14.7,de Maret 1985
Gif-4151,650,80,0,Charcoal,Sou,CMR,,,,,,,12.2,14.7,de Maret 1985
Gif-4152,520,80,0,Charcoal,Sou,CMR,,,,,,,12.2,14.7,de Maret 1985
Gif-4157,5040,150,0,,Owando,COG,,,LSA,,,,-0.5,15.916667,Clist 1989
Gif-4158,2190,90,0,Charcoal,Nsele,,,Layer,,,,,-4.23444,15.55028,Pincon 1991; Clist 2018: 238 Tab. 18.2
Gif-4219,370,80,0,,Ntadi-Yomba,COG,,,,,,0,-4.25,13.766667,Kouyoumontzakis u.a. 1985
Gif-4220,270,80,0,,Ntadi-Yomba,COG,,,,,,0,-4.25,13.766667,Kouyoumontzakis u.a. 1985
Gif-4221,300,80,0,,Ntadi-Yomba,COG,,,,,,0,-4.25,13.766667,Kouyoumontzakis u.a. 1985
Gif-4223,1240,90,0,Charcoal,Point-Noire,COG,,,,,,,-4.75,11.85,"de Maret 1985, Kouyoumontzakis u.a. 1985"
Gif-4280,500,60,0,Charcoal,Sou Blame Radjil,CMR,,,,,,,12.2,14.683333,de Maret 1985
Gif-4313,6890,160,,,Ntadi Yomba,COD,,,,,,,-4.25,13.766667,Delibrias/Guilier 1988; Garcin et al. 2018
Gif-4391,1990,90,0,,Ntadi-Yomba,COG,,,,,,0,-4.25,13.766667,Kouyoumontzakis u.a. 1985
Gif-4392,7090,140,0,,Ntadi-Yomba,COG,,,Tshitolien,,,0,-4.25,13.766667,Kouyoumontzakis u.a. 1985
Gif-4504,630,80,0,Charcoal,Sou,CMR,,,,,,,12.2,14.7,de Maret 1985
Gif-4545,3660,100,0,,Mouambe,COG,,,,,,0,-2.916667,14.633333,Kouyoumontzakis u.a. 1985
Gif-4546,0,0,0,Charcoal,Lombo,COG,,,,,,,-4.55,12.183333,de Maret 1985
Gif-456,590,0,0,Shell (River/Ocean),Cap Lopez,GAB,,,,,,0,-0.772646,8.781164,Clist 2004/05
Gif-4568,870,90,0,Charcoal,Salak,CMR,,,,,,,10.433333,14.25,de Maret 1985
Gif-457,1540,0,0,Shell (River/Ocean),Cap Lopez,GAB,,,,,,0,-0.772646,8.781164,Clist 2004/05
Gif-459,4030,200,0,,Bittori,COG,,,Tshitolien,,,0,-3.904596,14.502274,Kouyoumontzakis u.a. 1985
